,item_name,item_price
0,Pack Of 3 Plain 100% Cotton T-Shirt For Men- Blue/Grey/Black,Rs. 900
1,"3 pcs Livingtex Branded Men's Boxer/Trunks/Underwear Livingtex Premium Cotton, Flexible Boxer For Men",Rs. 769
2,Flexible Breathable Boxer Brief For Men- Pack Of 3,Rs. 749
3,URBAN HUG Men's 100% Cotton Printed Boxers Shorts ( Pack of 3),"Rs. 1,499"
4,Shangrila Magic Buddha Printed T-Shirt For Men,Rs. 330
5,Superman by Free Authority Grey Tshirt for Men STY-18-19-000008,"Rs. 2,037"
6,White Cotton Plain T-shirt for Men,Rs. 350
7,Check Printed Boxer For Men (Pack Of 4),Rs. 750
8,Shangrila Pack Of 2 Cotton T-Shirt For Men,Rs. 495
9,Binay Embroidery Cotton Plain T-Shirt 4 Pcs Combo Set For Men,"Rs. 1,064"
10,3 Buttoned Summer Comfortable Cotton Kurta Shirt For Men,Rs. 650
11,"1 Pcs Premium Cotton Men's Boxer/Trunks/Underwear Flexible, Breathable Fabric, Regular Wear, Cotton Boxer For Men",Rs. 259
12,Pack Of 4 Men Unlock Boxer Briefs Underwear (Color May Vary) By Arushi,Rs. 469
13,URBAN HUG Men's 100% Cotton Printed Boxers Shorts ( Pack of 3),"Rs. 1,499"
14,URBAN HUG Men's 100% Cotton Printed Boxers Shorts ( Pack of 3),"Rs. 1,499"
15,Check Printed Boxer For Men (Pack Of 2),Rs. 390
16,Shangrila 100% Cotton Pack Of 4 T-Shirt For Men (Black/Blue/Grey/White),Rs. 990
17,Amul Pack Of 4 Comfy Vest For Men,Rs. 990
18,Maroon Cotton Round Neck Half Sleeve Golden Mandala Printed T-Shirt For Men,Rs. 600
19,URBAN HUG Men's 100% Cotton Printed Boxers Shorts ( Pack of 3),"Rs. 1,499"
20,3 Pcs BodyLove Branded Panty /Trunks/ V Shape (Colors May Vary),Rs. 610
21,Orange Cotton Tshirt For Men,Rs. 1
22,Black Cotton Round Neck Ganesh Printed T-Shirt For Men,Rs. 450
23,Pack Of 4pcs Cotton Check Print Boxer For Men,Rs. 802
24,URBAN HUG Men's 100% Cotton Printed Boxers Shorts ( Pack of 3),"Rs. 1,499"
25,All In One Gallery - Dab Buddha Printed Cotton T-shirt For Men,Rs. 350
26,URBAN HUG Men's 100% Cotton Printed Boxers Shorts ( Pack of 3),"Rs. 1,499"
27,URBAN HUG Men's 100% Cotton Printed Boxers Shorts ( Pack of 5),"Rs. 2,499"
28,Pack Of 3 Men's BodyLove And Buloss Logo Checkered Boxer Briefs Cotton Underwear (Color May Vary) By Arushi,Rs. 493
29,SHANGRI-LA Red Moon Zoro Printed T-Shirt For Men,Rs. 370
30,URBAN HUG Men's 100% Cotton Printed Boxers Shorts ( Pack of 3),"Rs. 1,499"
31,Combo Of 5 Casual Cotton Plain T-Shirt For Men,"Rs. 1,424"
